#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.650000e+09	 18	     0	    11	9.007837479197793e-04	2.139999999999997e+05	8.264667582957399e+02
4.700000e+09	 18	     0	     6	4.334265687691298e-04	2.169999999999997e+05	3.052617652618610e+02
4.750000e+09	 18	     0	    13	1.956786496320711e-03	2.189999999999997e+05	7.836718705241268e+02
4.800000e+09	 18	     0	     7	7.470094963017150e-04	2.219999999999997e+05	2.578168167770650e+02
4.850000e+09	 18	     0	     1	4.021676516428850e-04	2.239999999999997e+05	7.289427276828749e+02
4.900000e+09	 18	     0	     6	3.577018927572879e-04	2.269999999999997e+05	1.925946282468124e+02
4.950000e+09	 18	     0	    10	9.050704354011745e-04	2.289999999999997e+05	6.612928313933490e+02
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+09	 18	     0	    12	1.523603152985566e-03	2.319999999999997e+05	1.328215483256813e+02
5.050000e+09	 18	     0	     5	6.479659648364169e-04	2.339999999999997e+05	5.944380168519613e+02
5.100000e+09	 18	     0	     3	4.773218912165773e-04	2.369999999999997e+05	5.967387984712494e+01
5.150000e+09	 18	     0	    12	9.813765837889080e-04	2.389999999999997e+05	5.173387281043254e+02
5.200000e+09	 18	     0	     1	4.727788480075921e-04	2.409999999999997e+05	9.802900790412587e+02
5.250000e+09	 18	     0	     1	3.530932695946013e-04	2.439999999999997e+05	4.382391684518122e+02
5.300000e+09	 18	     0	     9	6.151260032374971e-04	2.459999999999997e+05	8.965440727662556e+02
5.350000e+09	 18	     0	     2	6.686929580663329e-04	2.489999999999997e+05	3.509566946830376e+02
5.400000e+09	 18	     0	    17	1.199984491359388e-03	2.509999999999997e+05	8.018857493025699e+02
collision No.4	2.537344e+05[yr]	i=5, j=7	r_ij=5.706372696131598e-05	radius[5]+radius[7]=5.704881626385985e-05
dE_heat=-4.626858e-09	dE_grav=4.004782e-09	dE_c=3.721590e-15	v_imp=2.047812e-01
5.450000e+09	 17	     0	     6	3.204715266658475e-04	2.539999999999997e+05	2.973397381503925e+02
5.500000e+09	 17	     0	     7	1.826978597696137e-03	2.559999999999997e+05	9.476311097184876e+02
5.550000e+09	 17	     0	    14	1.276216430481943e-03	2.589999999999997e+05	5.770674667830053e+02
