myid = 2	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/rand03/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/
N_tr	100
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E7
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	1
ETA	3.0E-2
ITE_MAX	2
SOLAR_RADIUS	0.00465040106951872
SOLAR_SYSTEM_LIMIT	100.0
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-7*1)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E8)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
4.800000e+08	  1	    97	    49	3.747325148957379e-03	1.778279410038919e+04	4.309580366743033e+03
4.900000e+08	  1	    97	    88	2.975553760824640e-03	1.778279410038919e+04	4.784298797494046e+03
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+08	  1	    97	    41	4.607556385970381e-03	1.778279410038919e+04	5.258452794244597e+03
5.100000e+08	  1	    97	    63	3.749582277431391e-03	1.778279410038919e+04	5.734633706709329e+03
5.200000e+08	  1	    97	    44	3.752343430128730e-03	2.371373705661650e+04	2.803674395952857e+02
5.300000e+08	  1	    97	    86	5.192194576456140e-03	2.371373705661650e+04	7.580195265577341e+02
5.400000e+08	  1	    97	    19	4.888182135323401e-03	2.371373705661650e+04	1.234108136640492e+03
5.500000e+08	  1	    97	    68	4.060271809162483e-03	2.371373705661650e+04	1.709341202310134e+03
5.600000e+08	  1	    97	    81	5.169070860079695e-03	2.371373705661650e+04	2.184839080417831e+03
5.700000e+08	  1	    97	    91	9.632863891242618e-03	2.371373705661650e+04	2.659238847436567e+03
5.800000e+08	  1	    97	    49	5.084345665892624e-03	2.371373705661650e+04	3.133073012126424e+03
5.900000e+08	  1	    97	    41	5.960056457262383e-03	2.371373705661650e+04	3.604689555207564e+03
6.000000e+08	  1	    97	    56	4.628263086707276e-03	2.371373705661650e+04	4.074194897527701e+03
6.100000e+08	  1	    97	    41	5.204579233222630e-03	2.371373705661650e+04	4.541431336215242e+03
6.200000e+08	  1	    97	    22	5.193158671661582e-03	2.371373705661650e+04	5.006274152380959e+03
6.300000e+08	  1	    97	    61	3.441911937087462e-03	2.371373705661650e+04	5.471770394578612e+03
